city,offense,address,day,month,year,time,shift,longitude,latitude,weapon
Rochester,Larceny,115 BARRINGTON STREET,6,6,2020,13:04:05,Noon,-77.58132,43.149174,* No Weapon Specified *
Rochester,Burglary,14 RAILROAD STREET,1,2,2020,12:00:00,Noon,-77.584526,43.162838,* No Weapon Specified *
Rochester,Robbery,22 KOSCIUSKO STREET,28,7,2020,11:01:07,Morning,-77.598785,43.18539,Other Weapon
Rochester,Burglary,110 ROYLESTON ROAD,11,6,2020,07:00:00,Morning,-77.54992,43.161842,* No Weapon Specified *
Rochester,Larceny,1286 ST PAUL STREET,11,6,2020,21:01:02,Night,-77.62486,43.17944,* No Weapon Specified *
Rochester,Motor Vehicle Theft,533 BAY STREET,12,6,2020,17:03:00,Evening,-77.57957,43.170948,* No Weapon Specified *
Rochester,Burglary,20 CARLSON ROAD,17,7,2020,18:00:00,Evening,-77.56065,43.150196,* No Weapon Specified *
Rochester,Burglary,41 BEACH STREET,17,7,2020,11:00:00,Morning,-77.62306,43.184635,* No Weapon Specified *
Rochester,Burglary,1 SHELDON TER,7,6,2020,23:00:00,Night,-77.64864,43.131992,* No Weapon Specified *
Rochester,Burglary,25 HAMILTON STREET,6,6,2020,17:03:00,Evening,-77.609566,43.14467,* No Weapon Specified *
Rochester,Larceny,164 HAMPDEN ROAD,6,6,2020,21:00:00,Night,-77.55801,43.152626,* No Weapon Specified *
Rochester,Larceny,37 ST JACOBS STREET,29,5,2020,20:02:04,Night,-77.594666,43.17798,* No Weapon Specified *
Rochester,Larceny,452 PULLMAN STREET,5,6,2020,10:00:00,Morning,-77.64194,43.196392,* No Weapon Specified *
Rochester,Aggravated Assault,199 WINCHESTER STREET,30,5,2020,02:01:09,Night,-77.634705,43.20553,Knife/Cutting Instrument
Rochester,Aggravated Assault,240 AVENUE C,6,6,2020,18:05:08,Evening,-77.61825,43.179626,Knife/Cutting Instrument
Rochester,Motor Vehicle Theft,1386 CULVER ROAD,18,5,2020,05:04:00,Morning,-77.56015,43.170757,* No Weapon Specified *
Rochester,Aggravated Assault,709 NORTH PLYMOUTH AVENUE,14,8,2020,00:01:05,Night,-77.62668,43.165028,Firearm
Rochester,Burglary,1462 CULVER ROAD,15,7,2020,18:00:00,Evening,-77.55926,43.172195,* No Weapon Specified *
Rochester,Burglary,25 BROEZEL STREET,4,6,2020,21:00:00,Night,-77.638756,43.180653,* No Weapon Specified *
Rochester,Larceny,139 FERNWOOD PARK,1,8,2020,21:00:00,Night,-77.56268,43.18078,* No Weapon Specified *
Rochester,Larceny,64 EVA PL,30,7,2020,16:03:00,Evening,-77.64181,43.15493,* No Weapon Specified *
Rochester,Larceny,249 BERGEN STREET,5,6,2020,03:00:00,Night,-77.65828,43.169884,* No Weapon Specified *
Rochester,Larceny,20 WILSON STREET,25,7,2020,17:00:00,Evening,-77.60109,43.16887,* No Weapon Specified *
Rochester,Larceny,1043 UNIVERSITY AVENUE,3,6,2020,13:00:00,Noon,-77.57506,43.15241,* No Weapon Specified *
Rochester,Burglary,33 CRAWFORD STREET,3,6,2020,00:03:00,Night,-77.60294,43.13698,* No Weapon Specified *
Rochester,Larceny,25 FRANKLIN STREET,8,6,2020,04:00:00,Night,-77.60547,43.158073,* No Weapon Specified *
Rochester,Larceny,292 ST CASMIR DRIVE,6,6,2020,20:00:00,Night,-77.60285,43.19009,* No Weapon Specified *
Rochester,Robbery,266 BUFFALO ROAD,2,6,2020,05:00:09,Morning,-77.6573,43.151943,Firearm
Rochester,Robbery,170 WARING ROAD,29,4,2020,20:03:00,Night,-77.56372,43.18249,Personal Weapons
Rochester,Larceny,43 SOUTH UNION STREET,22,5,2020,16:00:00,Evening,-77.597755,43.154022,* No Weapon Specified *
Rochester,Aggravated Assault,985 SOUTH CLINTON AVENUE,20,7,2020,11:05:00,Morning,-77.59563,43.138954,Knife/Cutting Instrument
Rochester,Larceny,636 MAGEE AVENUE,28,7,2020,23:00:00,Night,-77.64802,43.19021,* No Weapon Specified *
Rochester,Motor Vehicle Theft,53 SOUTH UNION STREET,27,5,2020,19:00:00,Evening,-77.59801,43.153595,* No Weapon Specified *
Rochester,Larceny,670 THURSTON AVENUE,29,5,2020,13:00:00,Noon,-77.6506,43.13159,* No Weapon Specified *
Rochester,Larceny,1350 UNIVERSITY AVENUE,28,7,2020,14:00:00,Noon,-77.5653,43.15035,* No Weapon Specified *
Rochester,Aggravated Assault,380 WEST RIDGE ROAD,24,5,2020,01:02:09,Night,-77.63711,43.199944,Blunt Object
Rochester,Larceny,66 SOBIESKI STREET,26,5,2020,03:00:00,Night,-77.597496,43.184647,* No Weapon Specified *
Rochester,Larceny,341 FERNWOOD AVENUE,27,5,2020,16:04:00,Evening,-77.58039,43.178104,* No Weapon Specified *
Rochester,Burglary,111 EAST AVENUE,18,5,2020,18:00:00,Evening,-77.60126,43.156616,* No Weapon Specified *
Rochester,Burglary,60 BELMONT STREET,19,5,2020,21:03:00,Night,-77.57947,43.140083,* No Weapon Specified *
Rochester,Larceny,1210 NORTH CLINTON AVENUE,25,7,2020,15:03:00,Noon,-77.61351,43.181503,* No Weapon Specified *
Rochester,Larceny,320 AVERY STREET,26,7,2020,23:00:00,Night,-77.65002,43.171333,* No Weapon Specified *
Rochester,Burglary,167 BIRR STREET,9,5,2020,12:00:00,Noon,-77.635864,43.185123,* No Weapon Specified *
Rochester,Larceny,72 MORTIMER STREET,21,5,2020,14:00:00,Noon,-77.607796,43.158176,* No Weapon Specified *
Rochester,Motor Vehicle Theft,135 EAST RIDGE ROAD,15,5,2020,18:03:00,Evening,-77.631,43.195877,* No Weapon Specified *
Rochester,Larceny,747 NORTON STREET,13,7,2020,11:02:08,Morning,-77.603195,43.186527,* No Weapon Specified *
Rochester,Motor Vehicle Theft,102 CHATHAM GARDENS,27,7,2020,06:00:00,Morning,-77.60698,43.16823,* No Weapon Specified *
Rochester,Larceny,301 EASTMAN AVENUE,27,5,2020,13:00:00,Noon,-77.63649,43.201958,* No Weapon Specified *
Rochester,Larceny,1111 ELMWOOD AVENUE,22,5,2020,12:00:00,Noon,-77.61222,43.122192,* No Weapon Specified *
