city,offense,address,day,month,year,time,shift,longitude,latitude,weapon
Baltimore,COMMON ASSAULT,3300 WILKENS AVENUE,26,9,2020,16:20:00,Evening,-76.67252,39.27353,NA
Baltimore,LARCENY,300 FOLCROFT STREET,26,9,2020,16:25:00,Evening,-76.542015,39.289665,NA
Baltimore,AGG. ASSAULT,SOUTH TRICKER ST & WEST BALTIMORE STREET,26,9,2020,05:00:00,Morning,-76.640976,39.288437,OTHER
Baltimore,COMMON ASSAULT,0 SOUTH EAST AVENUE,26,9,2020,13:30:00,Noon,-76.57192,39.2919,NA
Baltimore,COMMON ASSAULT,400 NORTH BE LINEORD AVENUE,26,9,2020,00:29:00,Night,-76.57865,39.296272,NA
Baltimore,ROBBERY - COMMERCIAL,400 NORTH GLOVER STREET,26,9,2020,11:13:00,Morning,-76.58003,39.295773,NA
Baltimore,ROBBERY - STREET,500 SOUTH LAKEWOOD AVENUE,26,9,2020,09:40:00,Morning,-76.57868,39.28611,NA
Baltimore,ROBBERY - CARJACKING,2200 WEST COLD SPRING  LINE,26,9,2020,08:35:00,Morning,-76.65195,39.343803,FIREARM
Baltimore,LARCENY,2800 FOSTER AVENUE,26,9,2020,11:13:00,Morning,-76.57702,39.28412,NA
Baltimore,LARCENY,2300 EDMONDSON AVENUE,26,9,2020,21:00:00,Night,-76.65333,39.294907,NA
Baltimore,LARCENY,600 NORTH MILTON AVENUE,26,9,2020,23:12:00,Night,-76.5823,39.297993,NA
Baltimore,ARSON,1200 NORTH LINWOOD AVENUE,26,9,2020,02:25:00,Night,-76.57695,39.305042,FIRE
Baltimore,ARSON,2400 EAST PRESTON STREET,26,9,2020,02:25:00,Night,-76.58334,39.30573,FIRE
Baltimore,LARCENY,1500 RUSSELL STREET,26,9,2020,02:14:00,Night,-76.62787,39.27423,NA
Baltimore,LARCENY,100 NORTH BEND ROAD,26,9,2020,16:00:00,Evening,-76.70572,39.28146,NA
Baltimore,ARSON,1200 DECKER STREET,26,9,2020,02:25:00,Night,-76.57485,39.305103,FIRE
Baltimore,AGG. ASSAULT,2000 RIDGEHILL AVENUE,26,9,2020,13:05:00,Noon,-76.650635,39.311245,OTHER
Baltimore,BURGLARY,600 BRIDGEVIEW ROAD,26,9,2020,12:00:00,Noon,-76.62166,39.249573,NA
Baltimore,COMMON ASSAULT,1300 NORTH LUZERNE AVENUE,26,9,2020,17:00:00,Evening,-76.581375,39.305935,NA
Baltimore,COMMON ASSAULT,1300 NORTH LUZERNE AVENUE,26,9,2020,17:00:00,Evening,-76.581375,39.305935,NA
Baltimore,BURGLARY,1100 LIGHT STREET,26,9,2020,20:36:00,Night,-76.612305,39.276302,NA
Baltimore,LARCENY FROM AUTO,3300 WEST Cold Spring Ln,26,9,2020,03:00:00,Night,-76.674126,39.3366,NA
Baltimore,COMMON ASSAULT,400 EAST BALTIMORE STREET,26,9,2020,02:50:00,Night,-76.610146,39.289803,NA
Baltimore,LARCENY FROM AUTO,2100 EAST FEDERAL STREET,26,9,2020,18:30:00,Evening,-76.58778,39.30875,NA
Baltimore,ARSON,2700 EAST BIDDLE STREET,26,9,2020,02:25:00,Night,-76.57974,39.30479,FIRE
Baltimore,LARCENY,100 NORTH CARLTON STREET,25,9,2020,18:00:00,Evening,-76.636024,39.290493,NA
Baltimore,LARCENY,4000 BRENDAN AVENUE,25,9,2020,21:30:00,Night,-76.56668,39.315277,NA
Baltimore,LARCENY FROM AUTO,2400 SAINT STEPHENS CT,25,9,2020,17:00:00,Evening,-76.65691,39.31001,NA
Baltimore,AGG. ASSAULT,1600 MONTPELIER STREET,25,9,2020,05:23:00,Morning,-76.59597,39.32021,FIREARM
Baltimore,COMMON ASSAULT,5200 MORAVIA ROAD,25,9,2020,17:12:00,Evening,-76.54969,39.323914,NA
Baltimore,COMMON ASSAULT,4200 NICHOLAS AVENUE,25,9,2020,11:50:00,Morning,-76.562904,39.328346,NA
Baltimore,AGG. ASSAULT,4000 FAIRHAVEN AVENUE,25,9,2020,18:45:00,Evening,-76.5904,39.228966,OTHER
Baltimore,ROBBERY - STREET,400 SOUTH GILMOR STREET,25,9,2020,11:29:00,Morning,-76.642136,39.28323,FIREARM
Baltimore,BURGLARY,2200 ROGENE DRIVE,25,9,2020,04:38:00,Night,-76.666176,39.3697,NA
Baltimore,COMMON ASSAULT,3100 WEST BELVEDERE AVENUE,25,9,2020,18:14:00,Evening,-76.674225,39.34997,NA
Baltimore,COMMON ASSAULT,5700 SEYMOUR AVENUE,25,9,2020,23:53:00,Night,-76.54038,39.339607,NA
