city,offense,address,day,month,year,time,shift,longitude,latitude
Chicago,DECEPTIVE PRACTICE,060XX NORTH ALBANY AVENUE,2,1,2011,06:00:00,Morning,-87.74718,41.899582
Chicago,SEX OFFENSE,048XX WEST ARMITAGE AVENUE,11,15,2011,00:01:00,Night,-87.74718,41.899582
Chicago,OFFENSE INVOLVING CHILDREN,008XX NORTH AVERS AVENUE,1,1,2011,00:00:00,Night,-87.74718,41.899582
Chicago,DECEPTIVE PRACTICE,034XX SOUTH DR MARTIN LUTHER KING JR DRIVE,5,6,2011,14:00:00,Noon,-87.74718,41.899582
Chicago,OFFENSE INVOLVING CHILDREN,017XX WEST GREENLEAF AVENUE,4,23,2011,00:00:00,Night,-87.74718,41.899582
Chicago,OFFENSE INVOLVING CHILDREN,029XX WEST 86TH PL,2,14,2011,00:00:00,Night,-87.74718,41.899582
Chicago,DECEPTIVE PRACTICE,125XX SOUTH EDBROOKE AVENUE,9,21,2011,14:20:00,Noon,-87.74718,41.899582
Chicago,BATTERY,088XX SOUTH EXCHANGE AVENUE,4,23,2011,21:55:00,Night,-87.552765,41.735085
Chicago,BATTERY,067XX SOUTH EVANS AVENUE,3,26,2011,00:05:00,Night,-87.60701,41.77246
Chicago,CRIMINAL SEXUAL ASSAULT,068XX SOUTH ELIZABETH STREET,12,25,2011,22:16:00,Night,-87.65546,41.769875
Chicago,BURGLARY,052XX NORTH LUDLAM AVENUE,8,25,2011,13:00:00,Noon,-87.76515,41.976868
Chicago,CRIMINAL SEXUAL ASSAULT,079XX SOUTH ADA STREET,9,27,2011,13:00:00,Noon,-87.76515,41.976868
Chicago,OFFENSE INVOLVING CHILDREN,035XX SOUTH MOZART STREET,7,2,2011,06:00:00,Morning,-87.76515,41.976868
Chicago,BURGLARY,029XX NORTH ELSTON AVENUE,11,12,2011,22:00:00,Night,-87.69088,41.93428
Chicago,CRIMINAL SEXUAL ASSAULT,028XX SOUTH KARLOV AVENUE,10,21,2011,00:00:00,Night,-87.69088,41.93428
Chicago,OFFENSE INVOLVING CHILDREN,107XX SOUTH AVENUE J,1,1,2011,00:01:00,Night,-87.69088,41.93428
Chicago,BURGLARY,004XX NORTH LAVERGNE AVENUE,6,27,2011,06:00:00,Morning,-87.75049,41.8889
Chicago,SEX OFFENSE,002XX NORTH COLUMBUS DRIVE,12,26,2011,00:00:00,Night,-87.75049,41.8889
Chicago,OFFENSE INVOLVING CHILDREN,021XX SOUTH CALIFORNIA AVENUE,11,1,2011,07:00:00,Morning,-87.695465,41.852516
Chicago,CRIMINAL SEXUAL ASSAULT,025XX WEST MARQUETTE ROAD,10,11,2011,15:00:00,Noon,-87.687645,41.77191
Chicago,CRIMINAL SEXUAL ASSAULT,012XX SOUTH MICHIGAN AVENUE,9,3,2011,22:00:00,Night,-87.687645,41.77191
Chicago,THEFT,069XX SOUTH JUSTINE STREET,7,10,2011,17:00:00,Evening,-87.687645,41.77191
Chicago,BATTERY,043XX WEST WILCOX STREET,9,16,2011,12:29:00,Noon,-87.734,41.87877
Chicago,BATTERY,035XX WEST WA LINEUT STREET,7,19,2011,00:40:00,Night,-87.71482,41.885494
Chicago,BURGLARY,022XX SOUTH HALSTED STREET,3,3,2011,17:00:00,Evening,-87.646484,41.852337
Chicago,BURGLARY,022XX SOUTH HALSTED STREET,3,3,2011,18:30:00,Evening,-87.646484,41.852337
Chicago,CRIMINAL SEXUAL ASSAULT,030XX NORTH ELBRIDGE AVENUE,6,1,2011,13:00:00,Noon,-87.646484,41.852337
Chicago,DECEPTIVE PRACTICE,012XX WEST 19TH STREET,3,16,2011,09:00:00,Morning,-87.646484,41.852337
Chicago,DECEPTIVE PRACTICE,052XX WEST KAMERLING AVENUE,11,9,2011,15:45:00,Noon,-87.646484,41.852337
Chicago,CRIM SEXUAL ASSAULT,036XX SOUTH ROCKWELL STREET,1,1,2011,00:00:00,Night,-87.646484,41.852337
Chicago,OFFENSE INVOLVING CHILDREN,027XX WEST 22ND PL,3,11,2011,00:00:00,Night,-87.646484,41.852337
Chicago,OFFENSE INVOLVING CHILDREN,027XX WEST WILCOX STREET,1,1,2011,00:01:00,Night,-87.646484,41.852337
Chicago,BURGLARY,077XX SOUTH ABERDEEN STREET,7,19,2011,04:45:00,Night,-87.65139,41.75361
Chicago,OFFENSE INVOLVING CHILDREN,024XX SOUTH HOMAN AVENUE,1,5,2011,00:01:00,Night,-87.70999,41.847343
Chicago,DECEPTIVE PRACTICE,078XX SOUTH AVALON AVENUE,12,10,2011,19:23:00,Evening,-87.70999,41.847343
Chicago,DECEPTIVE PRACTICE,0000X EAST 14TH PL,2,7,2011,15:30:00,Noon,-87.70999,41.847343
Chicago,DECEPTIVE PRACTICE,050XX NORTH PARKSIDE AVENUE,1,6,2011,19:38:00,Evening,-87.70999,41.847343
Chicago,OFFENSE INVOLVING CHILDREN,013XX NORTH LAWNDALE AVENUE,6,13,2011,01:30:00,Night,-87.71907,41.905006
Chicago,DECEPTIVE PRACTICE,099XX SOUTH PRINCETON AVENUE,2,18,2011,14:05:00,Noon,-87.71907,41.905006
Chicago,DECEPTIVE PRACTICE,024XX WEST POLK STREET,1,1,2011,00:10:00,Night,-87.71907,41.905006
Chicago,OFFENSE INVOLVING CHILDREN,021XX NORTH KARLOV AVENUE,1,1,2011,00:00:00,Night,-87.72908,41.919777
Chicago,OFFENSE INVOLVING CHILDREN,075XX SOUTH COLFAX AVENUE,1,1,2011,00:01:00,Night,-87.72908,41.919777
Chicago,DECEPTIVE PRACTICE,075XX NORTH RIDGE BOULEVARD,10,5,2011,00:00:00,Night,-87.72908,41.919777
Chicago,OFFENSE INVOLVING CHILDREN,054XX WEST FULLERTON AVENUE,12,3,2011,00:00:00,Night,-87.762825,41.924023
Chicago,INTERFERENCE WITH PUBLIC OFFICER,048XX WEST SCHOOL STREET,8,26,2011,21:45:00,Night,-87.74802,41.94064
Chicago,DECEPTIVE PRACTICE,065XX SOUTH EBERHART AVENUE,1,19,2011,12:00:00,Noon,-87.74802,41.94064
Chicago,OFFENSE INVOLVING CHILDREN,036XX SOUTH WINCHESTER AVENUE,11,27,2011,00:00:00,Night,-87.74802,41.94064
Chicago,DECEPTIVE PRACTICE,031XX WEST WARREN BOULEVARD,12,1,2011,10:00:00,Morning,-87.74802,41.94064
Chicago,DECEPTIVE PRACTICE,0000X NORTH MENARD AVENUE,8,24,2011,09:00:00,Morning,-87.74802,41.94064
Chicago,DECEPTIVE PRACTICE,022XX WEST BELDEN AVENUE,2,1,2011,14:32:00,Noon,-87.74802,41.94064
Chicago,DECEPTIVE PRACTICE,071XX SOUTH DOBSON AVENUE,10,1,2011,10:55:00,Morning,-87.74802,41.94064
Chicago,DECEPTIVE PRACTICE,007XX WEST GORDON TER,10,3,2011,15:41:00,Noon,-87.74802,41.94064
