city,CrimeDate,CrimeTime,Location,Description,Weapon,Longitude,Latitude
Baltimore,09/26/2020,16:25:00,300 FOLCROFT ST,LARCENY,NA,-76.542016725916,39.289664122802
Baltimore,09/26/2020,05:00:00,STRICKER ST & W BALTIMORE ST,AGG. ASSAULT,OTHER,-76.640976,39.288438
Baltimore,09/26/2020,13:30:00,0 S EAST AVE,COMMON ASSAULT,NA,-76.57192568902,39.291901200994
Baltimore,09/26/2020,00:29:00,400 N BELNORD AVE,COMMON ASSAULT,NA,-76.578647961822,39.296270475645
Baltimore,09/26/2020,11:13:00,400 N GLOVER ST,ROBBERY - COMMERCIAL,NA,-76.58003374523,39.295773965611
Baltimore,09/26/2020,09:40:00,500 S LAKEWOOD AVE,ROBBERY - STREET,NA,-76.578685605383,39.286109162423
Baltimore,09/26/2020,08:35:00,2200 W COLD SPRING LN,ROBBERY - CARJACKING,FIREARM,-76.651945781374,39.34380373514
Baltimore,09/26/2020,11:13:00,2800 FOSTER AVE,LARCENY,NA,-76.5770184935,39.284117887051
Baltimore,09/26/2020,21:00:00,2300 EDMONDSON AVE,LARCENY,NA,-76.653324261757,39.294907741227
Baltimore,09/26/2020,23:12:00,600 N MILTON AVE,LARCENY,NA,-76.582301891002,39.297992213165
Baltimore,09/26/2020,02:25:00,1200 N LINWOOD AVE,ARSON,FIRE,-76.576950937738,39.305042040443
Baltimore,09/26/2020,02:25:00,2400 E PRESTON ST,ARSON,FIRE,-76.583346629583,39.305729038995
Baltimore,09/26/2020,02:14:00,1500 RUSSELL ST,LARCENY,NA,-76.627870800176,39.27422940101
Baltimore,09/26/2020,16:00:00,100 NORTH BEND RD,LARCENY,NA,-76.705720799676,39.281458470829
Baltimore,09/26/2020,02:25:00,1200 DECKER ST,ARSON,FIRE,-76.574848353111,39.305103517112
Baltimore,09/26/2020,13:05:00,2000 RIDGEHILL AVE,AGG. ASSAULT,OTHER,-76.650631417414,39.311244065421
Baltimore,09/26/2020,12:00:00,600 BRIDGEVIEW RD,BURGLARY,NA,-76.621658329253,39.249573643566
Baltimore,09/26/2020,17:00:00,1300 N LUZERNE AVE,COMMON ASSAULT,NA,-76.581375617778,39.305934039105
Baltimore,09/26/2020,17:00:00,1300 N LUZERNE AVE,COMMON ASSAULT,NA,-76.581375617778,39.305934039105
Baltimore,09/26/2020,20:36:00,1100 LIGHT ST,BURGLARY,NA,-76.612305036941,39.276303367149
Baltimore,09/26/2020,03:00:00,3300 W Cold Spring Ln,LARCENY FROM AUTO,NA,-76.674124714975,39.336601633217
Baltimore,09/26/2020,02:50:00,400 E BALTIMORE ST,COMMON ASSAULT,NA,-76.610147830682,39.289801814476
Baltimore,09/26/2020,18:30:00,2100 E FEDERAL ST,LARCENY FROM AUTO,NA,-76.587780984619,39.308748740504
Baltimore,09/26/2020,02:25:00,2700 E BIDDLE ST,ARSON,FIRE,-76.579742167096,39.304791541769
Baltimore,09/25/2020,18:00:00,100 N CARLTON ST,LARCENY,NA,-76.636022888125,39.290493021698
Baltimore,09/25/2020,21:30:00,4000 BRENDAN AVE,LARCENY,NA,-76.566683815163,39.315277108545
Baltimore,09/25/2020,17:00:00,2400 SAINT STEPHENS CT,LARCENY FROM AUTO,NA,-76.656913362021,39.310007811296
Baltimore,09/25/2020,05:23:00,1600 MONTPELIER ST,AGG. ASSAULT,FIREARM,-76.595970394016,39.320211250644
Baltimore,09/25/2020,17:12:00,5200 MORAVIA RD,COMMON ASSAULT,NA,-76.549689753394,39.323911764919
Baltimore,09/25/2020,11:50:00,4200 NICHOLAS AVE,COMMON ASSAULT,NA,-76.562907777939,39.328346774953
Baltimore,09/25/2020,18:45:00,4000 FAIRHAVEN AVE,AGG. ASSAULT,OTHER,-76.590402492015,39.228966065315
Baltimore,09/25/2020,11:29:00,400 S GILMOR ST,ROBBERY - STREET,FIREARM,-76.642135991738,39.283228415007
Baltimore,09/25/2020,04:38:00,2200 ROGENE DR,BURGLARY,NA,-76.66617630474,39.369700931908
Baltimore,09/25/2020,18:14:00,3100 W BELVEDERE AVE,COMMON ASSAULT,NA,-76.67422547543,39.349971298134
Baltimore,09/25/2020,23:53:00,5700 SEYMOUR AVE,COMMON ASSAULT,NA,-76.540384376561,39.339606912144
Baltimore,09/25/2020,17:03:00,1100 BOLTON ST,COMMON ASSAULT,NA,-76.622646259824,39.303368213312
Baltimore,09/25/2020,17:11:00,2500 GREENMOUNT AVE,LARCENY,NA,-76.609405114752,39.318403052818
Baltimore,09/25/2020,11:30:00,700 DRUID PARK LAKE DR,LARCENY,NA,-76.632519788907,39.31658272923
Baltimore,09/25/2020,18:00:00,4300 FURLEY AVE,AUTO THEFT,NA,-76.558054037596,39.331903025026
Baltimore,09/25/2020,17:45:00,2500 GREENMOUNT AVE,LARCENY,NA,-76.609405114752,39.318403052818
Baltimore,09/25/2020,15:08:00,2500 N CHARLES ST,LARCENY,NA,-76.617081254399,39.318200317698
Baltimore,09/25/2020,08:00:00,300 SOMERSET RD,AUTO THEFT,NA,-76.628082223952,39.342570365227
Baltimore,09/25/2020,02:35:00,4400 FALLS RD,LARCENY,NA,-76.640091891453,39.342629641592
Baltimore,09/25/2020,23:40:00,1000 WEBB CT,COMMON ASSAULT,NA,-76.603534140693,39.300733859307
Baltimore,09/25/2020,00:40:00,3300 EDMONDSON AVE,LARCENY,NA,-76.673704437959,39.293940861801
Baltimore,09/25/2020,07:00:00,100 W LANVALE ST,LARCENY,NA,-76.620999537924,39.307658045575
Baltimore,09/25/2020,14:50:00,3700 SAINT VICTOR ST,COMMON ASSAULT,NA,-76.597314929847,39.23323637347
