city,Date,Block,Primary Type,Year,Latitude,Longitude
Chicago,09/21/2011 02:20:00 PM,125XX S EDBROOKE AVE,DECEPTIVE PRACTICE,2011,,
Chicago,04/23/2011 09:55:00 PM,088XX S EXCHANGE AVE,BATTERY,2011,41.735084271,-87.552764692
Chicago,03/26/2011 12:05:00 AM,067XX S EVANS AVE,BATTERY,2011,41.772460601,-87.607011127
Chicago,12/25/2011 10:16:00 PM,068XX S ELIZABETH ST,CRIMINAL SEXUAL ASSAULT,2011,41.769875162,-87.655458094
Chicago,08/25/2011 01:00:00 PM,052XX N LUDLAM AVE,BURGLARY,2011,41.976868107,-87.765152442
Chicago,09/27/2011 01:00:00 PM,079XX S ADA ST,CRIMINAL SEXUAL ASSAULT,2011,,
Chicago,07/02/2011 06:00:00 AM,035XX S MOZART ST,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,11/12/2011 10:00:00 PM,029XX N ELSTON AVE,BURGLARY,2011,41.934278751,-87.690879908
Chicago,10/21/2011 12:00:00 AM,028XX S KARLOV AVE,CRIMINAL SEXUAL ASSAULT,2011,,
Chicago,01/01/2011 12:01:00 AM,107XX S AVENUE J,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,06/27/2011 06:00:00 AM,004XX N LAVERGNE AVE,BURGLARY,2011,41.888899795,-87.750485676
Chicago,12/26/2011 12:00:00 AM,002XX N COLUMBUS DR,SEX OFFENSE,2011,,
Chicago,11/01/2011 07:00:00 AM,021XX S CALIFORNIA AVE,OFFENSE INVOLVING CHILDREN,2011,41.852514964,-87.695464725
Chicago,10/11/2011 03:00:00 PM,025XX W MARQUETTE RD,CRIMINAL SEXUAL ASSAULT,2011,41.771910205,-87.687641714
Chicago,09/03/2011 10:00:00 PM,012XX S MICHIGAN AVE,CRIMINAL SEXUAL ASSAULT,2011,,
Chicago,07/10/2011 05:00:00 PM,069XX S JUSTINE ST,THEFT,2011,,
Chicago,09/16/2011 12:29:00 PM,043XX W WILCOX ST,BATTERY,2011,41.878768243,-87.733998579
