city,DATE OCC,TIME OCC,Crm Cd Desc,Vict Age,Vict Sex,Weapon Desc,LOCATION,LAT,LON
LACity,02/08/2010 12:00:00 AM,1800,THEFT PLAIN - PETTY ($950 & UNDER),23,M,,700 W  7TH                          ST,34.048,-118.2577
LACity,02/10/2010 12:00:00 AM,1900,ATTEMPTED ROBBERY,27,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",6TH                          ST,34.0502,-118.2574
LACity,02/10/2010 12:00:00 AM,1800,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,,700 W  7TH                          ST,34.048,-118.2577
LACity,02/11/2010 12:00:00 AM,1515,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,,PICO,34.0389,-118.2643
LACity,02/13/2010 12:00:00 AM,55,BATTERY - SIMPLE ASSAULT,24,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",800 W  OLYMPIC                      BL,34.045,-118.264
LACity,02/13/2010 12:00:00 AM,150,VANDALISM - MISDEAMEANOR ($399 OR UNDER),22,F,,700 E  CESAR E CHAVEZ               AV,34.0559,-118.2296
LACity,02/14/2010 12:00:00 AM,1500,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500    STANFORD                     AV,34.0426,-118.2412
LACity,02/15/2010 12:00:00 AM,100,ROBBERY,22,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1ST                          ST,34.0544,-118.2466
LACity,02/16/2010 12:00:00 AM,1540,INTIMATE PARTNER - SIMPLE ASSAULT,22,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500 E  4TH                          ST,34.0449,-118.2415
LACity,02/17/2010 12:00:00 AM,1725,VANDALISM - MISDEAMEANOR ($399 OR UNDER),35,M,,500 S  BROADWAY,34.0481,-118.2507
LACity,02/19/2010 12:00:00 AM,2040,BATTERY - SIMPLE ASSAULT,44,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",700 S  HOPE                         ST,34.048,-118.2577
LACity,02/19/2010 12:00:00 AM,2030,BATTERY - SIMPLE ASSAULT,50,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",700 S  HOPE                         ST,34.048,-118.2577
LACity,02/20/2010 12:00:00 AM,100,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,,100 W  7TH                          ST,34.0439,-118.2514
LACity,02/20/2010 12:00:00 AM,230,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 S  MAIN                         ST,34.0453,-118.2499
LACity,02/21/2010 12:00:00 AM,500,INTIMATE PARTNER - SIMPLE ASSAULT,35,F,,800 S  SPRING                       ST,34.0431,-118.2536
LACity,02/25/2010 12:00:00 AM,30,BURGLARY,20,F,,500 N  FIGUEROA                     ST,34.0617,-118.2469
LACity,02/25/2010 12:00:00 AM,2330,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 E  8TH                          ST,34.0394,-118.2496
LACity,02/27/2010 12:00:00 AM,1955,OTHER MISCELLANEOUS CRIME,0,M,,W  7TH                          ST,34.0445,-118.2523
LACity,02/28/2010 12:00:00 AM,15,BATTERY - SIMPLE ASSAULT,20,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",300 W  2ND                          ST,34.0524,-118.2467
LACity,02/28/2010 12:00:00 AM,2200,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1300 S  GRAND                        AV,34.0389,-118.2643
LACity,03/01/2010 12:00:00 AM,305,VANDALISM - MISDEAMEANOR ($399 OR UNDER),40,M,,800 S  GRAND                        AV,34.0459,-118.2579
LACity,08/01/2010 12:00:00 AM,250,ROBBERY,33,M,SIMULATED GUN,GRAND,34.0384,-118.2646
LACity,02/28/2010 12:00:00 AM,1825,INTIMATE PARTNER - SIMPLE ASSAULT,44,F,,300 S  LOS ANGELES                  ST,34.0485,-118.2447
LACity,03/01/2010 12:00:00 AM,100,ARSON,0,M,,5TH,34.0435,-118.2427
LACity,03/01/2010 12:00:00 AM,410,VANDALISM - MISDEAMEANOR ($399 OR UNDER),26,M,,400 S  HILL                         ST,34.0503,-118.2504
LACity,03/06/2010 12:00:00 AM,420,"RAPE, FORCIBLE",28,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400 S  FIGUEROA                     ST,34.0535,-118.256
LACity,03/06/2010 12:00:00 AM,1930,VANDALISM - MISDEAMEANOR ($399 OR UNDER),44,M,,1300 N  BROADWAY,34.0695,-118.2324
LACity,03/11/2010 12:00:00 AM,2300,VANDALISM - MISDEAMEANOR ($399 OR UNDER),26,M,,1100 S  GRAND                        AV,34.0416,-118.262
LACity,03/11/2010 12:00:00 AM,2110,BATTERY - SIMPLE ASSAULT,40,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 S  LOS ANGELES                  ST,34.0446,-118.249
LACity,03/11/2010 12:00:00 AM,815,BATTERY - SIMPLE ASSAULT,52,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1ST,34.053000000000004,-118.2444
LACity,03/12/2010 12:00:00 AM,930,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,M,UNKNOWN WEAPON/OTHER WEAPON,600    WALL                         ST,34.0435,-118.2471
